policy_id,title,organization,stage2_category,confidence,reason,candidate_count,direct_cash_candidate_count,candidate_types,estimated_amount_manwon,estimated_type,estimated_context,direct_candidate_summary,manual_status,manual_category,url
PBLN_000000000121411,[울산] 울주군 2026년 강소기업 육성 기술 혁신 지원사업 추가모집 공고,울산광역시,hold_unit_or_total_context,none,월/명/건/기간/총규모/자부담 등 위험 문맥 포함,7,2,"consulting_fee, non_cash, support_amount",,,,"1000.0만원/support_amount/증 획득 시험 및 등록비용* 2백만원 23 자부담 10% ② 혁신기술 사업화 기술가치평가 ·개발예정 신기술에 대한 가치평가비 지원 ·기술평가 전문기관 연계 지원 10백만원 최대 5백만원 7 특허 선행기술조사 ·국내외 유사 특허 출원/등록 여부 조사 ·유사 특허에 대한 회피전략 제공 최대 3백만원 시제품제작 ·양산 전 제품 || 500.0만원/support_amount/등록비용* 2백만원 23 자부담 10% ② 혁신기술 사업화 기술가치평가 ·개발예정 신기술에 대한 가치평가비 지원 ·기술평가 전문기관 연계 지원 10백만원 최대 5백만원 7 특허 선행기술조사 ·국내외 유사 특허 출원/등록 여부 조사 ·유사 특허에 대한 회피전략 제공 최대 3백만원 시제품제작 ·양산 전 제품의 금형, 목업, ",pending,manual_representative_recoverable,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121411
PBLN_000000000117967,[경기] 수원시 2026년 중소기업육성자금 융자지원 계획 공고,경기도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,2,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117967
PBLN_000000000121415,[경남] 2026년 경남형 제조 AX 고도화 패스트트랙 지원사업 도입기업 모집 공고,경상남도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,3,0,"consulting_fee, support_ratio, total_support_scale",,,,,pending,mixed_manual_review,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121415
PBLN_000000000117972,[대전] 중구 2026년 소상공인 특례보증 지원사업 공고,대전광역시,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,1,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117972
PBLN_000000000117979,[인천] 중구 2026년 소상공인 특례보증 지원 사업 공고,인천광역시,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,2,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117979
PBLN_000000000117995,[경기] 용인시 2026년 중소기업 특례보증 지원계획 공고,경기도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,1,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117995
PBLN_000000000118014,[경남] 2026년 농어촌진흥기금 농산물 가격안정자금 융자시행계획 공고,경상남도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,1,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118014
PBLN_000000000118006,2026년 스마트공장 수준확인 사업 공고,중소벤처기업부,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,2,0,non_cash,,,,,pending,mixed_manual_review,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118006
PBLN_000000000122820,2026년 한국형 ARPA-H 프로젝트 신규지원 대상과제 통합 공고,보건복지부,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,3,0,"consulting_fee, support_ratio, total_support_scale",,,,,pending,mixed_manual_review,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122820
PBLN_000000000118017,[인천] 2026년 중소기업육성자금 지원계획 공고,인천광역시,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,6,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118017
